Model Type,Aggregate Diversity
user_item_bias,0.000241103
user_based_cf,0.053476709
ring_buffer_random,0.002063274
ring_buffer_time,0.001719395
most_popular_random,0.001719395
most_popular_time,0.001719395
user_based_cf,0.053476709
content based,0.003520108
item based CF,0.0
item based CF,0.053958915999614235
item based CF,0.05342848876458675
item based CF,0.05477866718102035
item based CF,0.053524930080046294
item based CF,0.05391069534188447
ring_buffer_random,0.002407152682255846
ring_buffer_time,0.0017193947730398899
ring_buffer_random,0.002407152682255846
ring_buffer_time,0.0017193947730398899
item based CF,0.05318738547593789
content based,0.0026521361751374287
