model,method,duration,emissions,emissions_rate,energy_consumed
baseline,fit,0.4326718000083929,1.7273336818215065e-07,3.9922492794492267e-07,5.742465697544902e-06
baseline,recommend,0.0198933999927248,6.538667916289234e-09,3.286852885218444e-07,2.1737592806812615e-07
item_based,fit,31.736548800006855,1.2829790091149318e-05,4.042591452523201e-07,0.0004265222769664
item_based,recommend,0.0271402999933343,8.944889781941735e-09,3.295796208641246e-07,2.973700060485949e-07
most_popular,fit,0.0354185000032885,1.1631880858512036e-08,3.284125769705677e-07,3.866981668388311e-07
most_popular,recommend,0.0212897000019438,6.498647566410331e-09,3.052484330834616e-07,2.160454643088541e-07
ring_buffer,fit,0.124941599991871,4.9452471086879534e-08,3.958046886713233e-07,1.6440316185797716e-06
ring_buffer,recommend,0.0149551999929826,4.469098529095349e-09,2.988324148919677e-07,1.485737542917337e-07
user_based,fit,349.18194320000475,0.0001411110153845,4.041188788039887e-07,0.00469119067103
user_based,recommend,0.0209172000031685,7.731859665364567e-09,3.696412361211511e-07,2.5704320696025824e-07
